sample_id,quarter,ticker,mini_bucket,xhigh_bucket,bucket_changed,mini_score,xhigh_score,score_change,score_changed,mini_risk,xhigh_risk,risk_change,risk_changed,mini_action,xhigh_action,action_change,action_changed,mini_confidence,xhigh_confidence,confidence_changed,mini_detected_driver_category,xhigh_detected_driver_category,driver_category_changed
T3000001,2021Q4,ACCO,inflecting,constructive,1,9,4,-5,1,1,2,1,1,3,1,-2,1,high,high,0,pricing_cost_mix,demand_pricing_margin,1
T3000002,2021Q4,ARLO,inflecting,constructive,1,8,6,-2,1,2,2,0,0,3,1,-2,1,high,high,0,demand_and_subscriptions,subscription_mix,1
T3000003,2021Q4,BHR,neutral,deteriorating,1,0,-2,-2,1,3,4,1,1,0,-3,-3,1,medium,medium,0,revpar_recovery,travel_recovery,1
T3000004,2021Q4,CNDT,neutral,deteriorating,1,1,-3,-4,1,4,5,1,1,-3,-3,0,0,medium,medium,0,contract_signings_and_restructuring,contract_pipeline,1
T3000005,2021Q4,COMP,constructive,neutral,1,3,1,-2,1,3,3,0,0,1,0,-1,1,high,high,0,scale_and_margin_improvement,scale_unit_economics,1
T3000006,2021Q4,CTLP,constructive,constructive,0,5,6,1,1,2,1,-1,1,1,1,0,0,high,high,0,payments_and_devices_growth,transaction_growth,1
T3000007,2021Q4,DNUT,inflecting,inflecting,0,9,7,-2,1,1,2,1,1,3,3,0,0,high,high,0,hub_and_spoke_scale,operating_model_scale,1
T3000008,2021Q4,DRH,inflecting,constructive,1,8,3,-5,1,1,3,2,1,3,1,-2,1,high,high,0,hotel_recovery,travel_recovery,1
T3000009,2021Q4,DXLG,inflecting,inflecting,0,7,8,1,1,3,2,-1,1,3,3,0,0,high,high,0,demand_recovery_margin,demand recovery and efficiency,1
T3000010,2021Q4,EEX,constructive,constructive,0,5,6,1,1,2,2,0,0,1,1,0,0,medium,high,1,event_reopen_recovery,post-COVID event recovery,1
T3000011,2021Q4,ESRT,deteriorating,deteriorating,0,-1,-2,-1,1,3,2,-1,1,-3,-3,0,0,low,medium,1,reopening_lease_activity,insufficient positive driver,1
T3000012,2021Q4,GTX,constructive,neutral,1,4,2,-2,1,4,4,0,0,-3,-3,0,0,high,high,0,margin_expansion,mix and productivity margin improvement,1
T3000013,2021Q4,HIMS,constructive,neutral,1,3,0,-3,1,3,3,0,0,1,0,-1,1,medium,high,1,subscriber_growth,subscription growth,1
T3000014,2021Q4,HLIT,inflecting,inflecting,0,7,9,2,1,2,1,-1,1,3,3,0,0,high,high,0,demand_momentum_margin,segment growth and backlog,1
T3000015,2021Q4,HLX,neutral,deteriorating,1,2,-3,-5,1,3,4,1,1,0,-3,-3,1,medium,high,1,cycle_recovery,weak utilization and rates,1
T3000016,2021Q4,JBLU,neutral,deteriorating,1,1,-1,-2,1,4,4,0,0,-3,-3,0,0,high,high,0,demand_recovery_capacity_actions,travel demand recovery with near-term pressure,1
T3000017,2021Q4,KEQU,neutral,deteriorating,1,1,-2,-3,1,4,4,0,0,-3,-3,0,0,high,high,0,operational_recovery,demand_backlog_with_margin_pressure,1
