variant,primary_theme,pick_count,avg_return_90d_pct,winner_90d_30pct_rate,loser_90d_minus30pct_rate
entry_score_top10,800G and CATV demand ramp,1,63.350400,1.000000,0.000000
entry_score_top10,AI cloud GPU infrastructure,1,-38.888000,0.000000,1.000000
entry_score_top10,AI data center memory growth,1,13.299300,0.000000,0.000000
entry_score_top10,AI data center power shortage monetization,1,-24.714300,0.000000,0.000000
entry_score_top10,AI memory and storage acceleration,1,79.990600,1.000000,0.000000
entry_score_top10,Bitcoin mining production growth,1,31.849300,1.000000,0.000000
entry_score_top10,CATV and datacenter capacity ramp,1,-26.458300,0.000000,0.000000
entry_score_top10,Contracted HPC data center hosting,1,-10.807000,0.000000,0.000000
entry_score_top10,Flexible power infrastructure for HPC and bitcoin mining,1,337.701600,1.000000,0.000000
entry_score_top10,Post-halving bitcoin mining economics,1,6.434300,0.000000,0.000000
entry_score_top10,UNKNOWN,158,12.382313,0.234177,0.063291
entry_score_top10,bitcoin_mining_halving_positioning,1,1.315800,0.000000,0.000000
entry_score_top10,datacenter optical network transition,1,103.336900,1.000000,0.000000
entry_score_top10,datacenter optical upgrade cycle,1,2.389500,0.000000,0.000000
entry_score_top10,hyperscale 400G optical ramp,1,99.277100,1.000000,0.000000
entry_score_top10,next-generation datacenter optical qualification,1,21.376400,0.000000,0.000000
high_conviction_top10_v1,800G and CATV demand ramp,1,63.350400,1.000000,0.000000
high_conviction_top10_v1,AI cloud GPU infrastructure,1,-38.888000,0.000000,1.000000
high_conviction_top10_v1,AI data center memory growth,1,13.299300,0.000000,0.000000
high_conviction_top10_v1,AI data center power shortage monetization,1,-24.714300,0.000000,0.000000
high_conviction_top10_v1,AI memory and storage acceleration,1,79.990600,1.000000,0.000000
high_conviction_top10_v1,AI-driven memory demand,1,27.185300,0.000000,0.000000
high_conviction_top10_v1,Contracted HPC data center hosting,1,-10.807000,0.000000,0.000000
high_conviction_top10_v1,Flexible power infrastructure for HPC and bitcoin mining,1,337.701600,1.000000,0.000000
high_conviction_top10_v1,Post-halving bitcoin mining economics,1,6.434300,0.000000,0.000000
high_conviction_top10_v1,UNKNOWN,159,12.426340,0.257862,0.075472
high_conviction_top10_v1,bitcoin_mining_halving_positioning,1,1.315800,0.000000,0.000000
high_conviction_top10_v1,datacenter optical network transition,1,103.336900,1.000000,0.000000
high_conviction_top10_v1,datacenter optical upgrade cycle,1,2.389500,0.000000,0.000000
high_conviction_top10_v1,hyperscale 400G optical ramp,1,99.277100,1.000000,0.000000
high_conviction_top10_v1,next-generation datacenter optical qualification,1,21.376400,0.000000,0.000000
high_conviction_top10_v2_final,800G and CATV demand ramp,1,63.350400,1.000000,0.000000
high_conviction_top10_v2_final,AI cloud GPU infrastructure,1,-38.888000,0.000000,1.000000
high_conviction_top10_v2_final,AI data center memory growth,1,13.299300,0.000000,0.000000
high_conviction_top10_v2_final,AI data center power shortage monetization,1,-24.714300,0.000000,0.000000
high_conviction_top10_v2_final,AI memory and storage acceleration,1,79.990600,1.000000,0.000000
high_conviction_top10_v2_final,AI-driven memory demand,1,27.185300,0.000000,0.000000
high_conviction_top10_v2_final,CATV demand and margin recovery,1,-41.077400,0.000000,1.000000
high_conviction_top10_v2_final,Contracted HPC data center hosting,1,-10.807000,0.000000,0.000000
high_conviction_top10_v2_final,Flexible power infrastructure for HPC and bitcoin mining,1,337.701600,1.000000,0.000000
high_conviction_top10_v2_final,Post-halving bitcoin mining economics,1,6.434300,0.000000,0.000000
high_conviction_top10_v2_final,UNKNOWN,158,12.784427,0.259494,0.069620
high_conviction_top10_v2_final,bitcoin_mining_halving_positioning,1,1.315800,0.000000,0.000000
high_conviction_top10_v2_final,datacenter optical network transition,1,103.336900,1.000000,0.000000
high_conviction_top10_v2_final,datacenter optical upgrade cycle,1,2.389500,0.000000,0.000000
high_conviction_top10_v2_final,hyperscale 400G optical ramp,1,99.277100,1.000000,0.000000
high_conviction_top10_v2_final,next-generation datacenter optical qualification,1,21.376400,0.000000,0.000000
