ticker,rows,hp_production_rows,hp_research_rows,post_llm_rows,hp_research_post_llm_rows,hp_LLM_best_rows,latest_quarter,latest_entry_score_0_100,latest_entry_score_bucket
NVDA,18,5,7,7,7,4,2026Q1,61,"Good candidate, needs downstream confirmation"
AAPL,18,14,14,14,14,1,2026Q1,66,"Good candidate, needs downstream confirmation"
MSFT,18,0,1,1,1,0,2026Q1,3,Low priority unless theme override exists
AMZN,18,3,6,6,6,0,2026Q1,49,Watchlist / secondary research
GOOGL,18,8,8,8,8,3,2026Q1,64,"Good candidate, needs downstream confirmation"
AVGO,18,0,1,1,1,0,2026Q1,3,Low priority unless theme override exists
GOOG,18,8,8,8,8,3,2026Q1,64,"Good candidate, needs downstream confirmation"
META,18,7,7,7,7,2,2026Q1,3,Low priority unless theme override exists
TSLA,18,5,7,7,7,0,2026Q1,3,Low priority unless theme override exists
BRK-B,17,0,2,2,2,0,2026Q1,3,Low priority unless theme override exists
WMT,18,0,2,2,2,0,2026Q1,8,Low priority unless theme override exists
