ordinal,column,row_count,nonblank_count,blank_count,blank_pct,fully_blank,distinct_nonblank_count,sample_values,action,reason_to_keep_or_drop
1,quarter,17651,17651,0,0.0000,0,17,2022Q2 | 2022Q3 | 2022Q4 | 2023Q1 | 2023Q2,keep,"Core row identity, PIT date, entry price, or execution-timing contract field."
2,ticker,17651,17651,0,0.0000,0,>1000,A | AAOI | AAP | AAPL | ABG,keep,"Core row identity, PIT date, entry price, or execution-timing contract field."
3,symbol,17651,17651,0,0.0000,0,>1000,A | AAOI | AAP | AAPL | ABG,keep,Populated field with row-level data; keep unless output contract is narrowed.
4,cik,17651,17651,0,0.0000,0,>1000,1090872 | 1158114 | 1158449 | 320193 | 1144980,keep,"Core row identity, PIT date, entry price, or execution-timing contract field."
5,cik10,17651,17651,0,0.0000,0,>1000,0001090872 | 0001158114 | 0001158449 | 0000320193 | 0001144980,keep,"Core row identity, PIT date, entry price, or execution-timing contract field."
6,security_id,17651,17651,0,0.0000,0,>1000,CIK0001090872 | CIK0001158114 | CIK0001158449 | CIK0000320193 | CIK0001144980,keep,Populated field with row-level data; keep unless output contract is narrowed.
7,company_title,17651,17651,0,0.0000,0,>1000,"AGILENT TECHNOLOGIES, INC. | APPLIED OPTOELECTRONICS, INC. | ADVANCE AUTO PARTS INC | Apple Inc. | ASBURY AUTOMOTIVE GROUP INC",keep,"Core row identity, PIT date, entry price, or execution-timing contract field."
8,cik_status,17651,17651,0,0.0000,0,2,resolved | resolved_from_complete_panel_fallback,keep_sparse,Reason/status field. Blank means no reason/status applied for that row.
9,ticker_as_of_decision_date,17651,17651,0,0.0000,0,>1000,A | AAOI | AAP | AAPL | ABG,keep,Populated field with row-level data; keep unless output contract is narrowed.
10,ticker_mapping_source,17651,17651,0,0.0000,0,2,master_fundamental_universe_start_2021Q4.json | daily_scout_append,keep_sparse,Traceability/source field. Blank only when that source path does not apply.
11,ticker_mapping_source_date,17651,17651,0,0.0000,0,30,2021-12-31 | 2026-05-08 | 2026-05-06 | 2026-02-19 | 2026-03-16,keep_sparse,Traceability/source field. Blank only when that source path does not apply.
12,ticker_mapping_effective_date,17651,17651,0,0.0000,0,30,2021-12-31 | 2026-05-08 | 2026-05-06 | 2026-02-19 | 2026-03-16,keep_sparse,Traceability/source field. Blank only when that source path does not apply.
13,ticker_mapping_pit_valid_flag,17651,17651,0,0.0000,0,1,1,keep_sparse,Traceability/source field. Blank only when that source path does not apply.
14,price_ticker_used,17651,17651,0,0.0000,0,>1000,A | AAOI | AAP | AAPL | ABG,keep_sparse,Traceability/source field. Blank only when that source path does not apply.
15,facts_cik_used,17651,17651,0,0.0000,0,>1000,0001090872 | 0001158114 | 0001158449 | 0000320193 | 0001144980,keep,Populated field with row-level data; keep unless output contract is narrowed.
16,ticker_cik_mapping_confidence,17651,17651,0,0.0000,0,1,high,keep,Populated field with row-level data; keep unless output contract is narrowed.
17,decision_date_rule,17651,17651,0,0.0000,0,1,full_evidence,keep,"Core row identity, PIT date, entry price, or execution-timing contract field."
18,decision_date,17651,17651,0,0.0000,0,852,2022-05-31 | 2022-05-05 | 2022-05-24 | 2022-04-29 | 2022-05-04,keep,"Core row identity, PIT date, entry price, or execution-timing contract field."
19,source_available_date,17651,17651,0,0.0000,0,852,2022-05-31 | 2022-05-05 | 2022-05-24 | 2022-04-29 | 2022-05-04,keep,"Core row identity, PIT date, entry price, or execution-timing contract field."
20,financial_cutoff_date,17651,17651,0,0.0000,0,852,2022-05-31 | 2022-05-05 | 2022-05-24 | 2022-04-29 | 2022-05-04,keep,"Core row identity, PIT date, entry price, or execution-timing contract field."
21,disclosure_available_date,17651,17651,0,0.0000,0,852,2022-05-31 | 2022-05-05 | 2022-05-24 | 2022-04-29 | 2022-05-04,keep,Populated field with row-level data; keep unless output contract is narrowed.
22,fiscal_period_start,17651,17643,8,0.0453,0,230,2021-11-01 | 2022-01-01 | 2022-01-02 | 2021-09-26 | 2021-12-04,keep,"Core row identity, PIT date, entry price, or execution-timing contract field."
23,fiscal_period_end,17651,17643,8,0.0453,0,369,2022-04-30 | 2022-03-31 | 2022-04-23 | 2022-03-26 | 2022-06-03,keep,"Core row identity, PIT date, entry price, or execution-timing contract field."
24,target_period_end,17651,17643,8,0.0453,0,369,2022-04-30 | 2022-03-31 | 2022-04-23 | 2022-03-26 | 2022-06-03,keep,"Core row identity, PIT date, entry price, or execution-timing contract field."
25,fiscal_year,17651,17643,8,0.0453,0,6,2022 | 2023 | 2021 | 2024 | 2025,keep,"Core row identity, PIT date, entry price, or execution-timing contract field."
26,fiscal_period,17651,17643,8,0.0453,0,4,Q2 | Q1 | Q3 | FY,keep,"Core row identity, PIT date, entry price, or execution-timing contract field."
27,period_context_source,17651,17643,8,0.0453,0,1,companyfacts_accession,keep_sparse,Traceability/source field. Blank only when that source path does not apply.
28,period_context_confidence,17651,17643,8,0.0453,0,1,high,keep_sparse,Traceability/source field. Blank only when that source path does not apply.
29,period_context_missing_reason,17651,8,17643,99.9547,0,1,ambiguous_period_context,keep_sparse,Traceability/source field. Blank only when that source path does not apply.
30,score_producing_flag,17651,17651,0,0.0000,0,1,1,keep,"Core row identity, PIT date, entry price, or execution-timing contract field."
31,accepted_row_flag,17651,17651,0,0.0000,0,1,1,keep,"Core row identity, PIT date, entry price, or execution-timing contract field."
32,diagnostic_only_flag,17651,17651,0,0.0000,0,1,0,keep,"Core row identity, PIT date, entry price, or execution-timing contract field."
33,tradable_date,17651,17651,0,0.0000,0,851,2022-06-01 | 2022-05-06 | 2022-05-25 | 2022-05-02 | 2022-05-05,keep,"Core row identity, PIT date, entry price, or execution-timing contract field."
34,tradable_date_alias_source,17651,17651,0,0.0000,0,1,entry_open_date,keep_sparse,Traceability/source field. Blank only when that source path does not apply.
35,entry_open,17651,17651,0,0.0000,0,>1000,127.86000061035156 | 2.5899999141693115 | 177.61000061035156 | 156.7100067138672 | 196.16000366210938,keep,"Core row identity, PIT date, entry price, or execution-timing contract field."
36,entry_open_date,17651,17651,0,0.0000,0,851,2022-06-01 | 2022-05-06 | 2022-05-25 | 2022-05-02 | 2022-05-05,keep,"Core row identity, PIT date, entry price, or execution-timing contract field."
37,entry_open_source,17651,17651,0,0.0000,0,1,price_provider_open,keep,Score/ranking field used to explain candidate quality or scoring path.
38,expected_market_session_after_decision,17651,17651,0,0.0000,0,851,2022-06-01 | 2022-05-06 | 2022-05-25 | 2022-05-02 | 2022-05-05,keep,"Core row identity, PIT date, entry price, or execution-timing contract field."
39,entry_open_gap_sessions,17651,17651,0,0.0000,0,4,0 | 5 | 2 | 6,keep,"Core row identity, PIT date, entry price, or execution-timing contract field."
40,entry_date_adjustment_reason,17651,3,17648,99.9830,0,1,ticker_not_listed_yet,keep,"Core row identity, PIT date, entry price, or execution-timing contract field."
41,price_adjustment_mode,17651,17651,0,0.0000,0,1,split_adjusted_for_returns,keep,"Core row identity, PIT date, entry price, or execution-timing contract field."
42,entry_open_price_basis,17651,17651,0,0.0000,0,1,raw_open,keep,"Core row identity, PIT date, entry price, or execution-timing contract field."
43,return_price_basis,17651,17651,0,0.0000,0,1,split_adjusted,keep,"Core row identity, PIT date, entry price, or execution-timing contract field."
44,entry_open_raw,17651,17651,0,0.0000,0,>1000,127.86000061035156 | 2.5899999141693115 | 177.61000061035156 | 156.7100067138672 | 196.16000366210938,keep,"Core row identity, PIT date, entry price, or execution-timing contract field."
45,entry_open_adjusted_for_return_calc,17651,17651,0,0.0000,0,>1000,127.86000061035156 | 2.5899999141693115 | 177.61000061035156 | 156.7100067138672 | 196.16000366210938,keep,Score/ranking field used to explain candidate quality or scoring path.
46,adjustment_factor,17651,17651,0,0.0000,0,1,1,keep,"Core row identity, PIT date, entry price, or execution-timing contract field."
47,price_reference_date,17651,17651,0,0.0000,0,851,2022-06-01 | 2022-05-06 | 2022-05-25 | 2022-05-02 | 2022-05-05,keep,"Core row identity, PIT date, entry price, or execution-timing contract field."
48,price_reference_time,17651,17651,0,0.0000,0,1,market_open,keep,"Core row identity, PIT date, entry price, or execution-timing contract field."
49,price_reference_source,17651,17651,0,0.0000,0,1,price_cache_open,keep,"Core row identity, PIT date, entry price, or execution-timing contract field."
50,price_reference_used_for_scoring_flag,17651,17651,0,0.0000,0,1,1,keep,"Core row identity, PIT date, entry price, or execution-timing contract field."
51,score_timing_mode,17651,17651,0,0.0000,0,1,post_open_research_score,keep,"Core row identity, PIT date, entry price, or execution-timing contract field."
52,execution_timing_mode,17651,17651,0,0.0000,0,1,next_session_executable,keep,"Core row identity, PIT date, entry price, or execution-timing contract field."
53,execution_after_score_timestamp_flag,17651,17651,0,0.0000,0,1,0,keep,"Core row identity, PIT date, entry price, or execution-timing contract field."
54,non_executable_research_score_flag,17651,17651,0,0.0000,0,1,1,keep,"Core row identity, PIT date, entry price, or execution-timing contract field."
55,execution_timing_missing_reason,17651,17651,0,0.0000,0,1,post_open_research_score_not_executable_same_open,keep,"Core row identity, PIT date, entry price, or execution-timing contract field."
56,entry_qoq_pct,17651,17129,522,2.9573,0,>1000,-5.8815 | -31.6623 | -19.7316 | -7.9043 | 1.7269,keep,Score/ranking field used to explain candidate quality or scoring path.
57,prior_entry_qoq_pct,17651,15798,1853,10.4980,0,>1000,-44.2975 | 15.5821 | -2.2989 | -38.3077 | -13.7931,keep_sparse,Prior-quarter context field. Blank when no valid prior row exists.
58,panel_row_source,17651,17651,0,0.0000,0,1,fundamental_final_scores,keep_sparse,Traceability/source field. Blank only when that source path does not apply.
