quarter,ticker,revenue_bucket,profitability_score,operating_cash_flow_score,fcf_proxy_score,financing_dependence_score,asset_efficiency_score,pre_llm_fundamental_score,score_change,pre_llm_fundamental_bucket,prior_score_addition,prior_pre_llm_fundamental_score,missing_critical_llm_fields,tier_structure_score,hp_structure_score,total_structure_score,llm_business_improvement_score,fundamental_rerating_score,theme_external_confirmation_score,risk_penalty_score,base_entry_raw_score,base_entry_score_0_100,entry_raw_score,entry_score_0_100,entry_score_0_100_bucket,hp_adjusted_raw_score,hp_adjusted_entry_score,hp_adjusted_entry_score_bucket,monitoring_adjustment,monitoring_score_0_100,final_rank_score_0_100,rank_score_label,monitoring_status,hard_reject_reason,tradable_date,entry_open,entry_qoq_pct,return_10d_pct,return_20d_pct,return_30d_pct,return_60d_pct,return_90d_pct,pre_llm_fundamental_missing_fields,tier_bucket,hp0_high_price_broad,hp1_quality_pullback,hp2_dislocation_momentum_priority,hp2_dislocation_momentum_watch,hp3_large_quality_theme_exception,hp4_score_reacceleration_watch,extended_candidate_universe,extended_research_universe,tier_1_bucket,tier_2_bucket,tier_3_bucket,tier_4_bucket,tier_0_bucket,hp_production_extension,hp_research_extension,hp1_LLM_best,hp2_LLM_best,hp2_watch_LLM_best,hp3_theme_confirmed,hp4_LLM_supported,hp_LLM_best,sample_id,event_date,accession,exhibit_doc,source_doc_type,text_len,text_path,snippet_count,quality_flags,causal_change,proof_alignment,durability,operating_leverage_quality,negative_revision_risk,story_vs_numbers_gap_penalty,narrative_delta_score,narrative_delta_bucket,score_addition,detected_driver_category,detected_driver_name,evidence_positive,evidence_risk,confidence,blocking_issues,post_llm_fundamental_score,post_llm_fundamental_bucket,post_llm_score_delta,post_llm_candidate_flag,post_llm_high_priority_flag,post_llm_demote_flag,has_post_llm,in_hp1_hp4_post_llm_file,post_llm_tier_1_1_flag,post_llm_tier_1_2_flag,post_llm_tier_1_3_flag,post_llm_tier_1_4_flag,post_llm_tier_2_1_flag,post_llm_tier_2_2_flag,post_llm_tier_2_3_flag,post_llm_tier_3_1_flag,post_llm_tier_3_2_flag,post_llm_tier_3_3_flag,post_llm_tier_3_4_flag,post_llm_tier_4_1_flag,post_llm_tier_4_2_flag,post_llm_tier_4_3_flag,post_llm_sub_tier_bucket,rm1_low_price_dislocation_momentum,rm2_weak_acceleration,rm3_mid_price_dislocation_momentum,rm4_persistent_repricing_wave,repricing_momentum_extension
2021Q4,AXTI,<$100M,1,1,-1,0,0,1.0,,mixed,,,0,25,0,25,0,1,0,1,25,25,25,25,Low priority unless theme override exists,25,25,Low priority unless theme override exists,0,25,25,Avoid / stale / low priority,active,,2021-10-28,8.01,,16.3545,9.7378,3.2459,9.4881,-11.2360,,Tier 0 - Broad right-tail scouting universe,,,,,,,Extended candidate universe,Extended research universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
2022Q1,AXTI,<$100M,1,1,-1,1,0,2.0,1,mixed,0,1.0,0,25,0,25,0,3,0,0,28,28,28,28,Low priority unless theme override exists,28,28,Low priority unless theme override exists,-8,20,20,Stop / review,kill_review,,2022-02-17,7.9,-1.37,-5.6962,-7.7215,-9.4937,-19.1139,-33.4177,,Tier 0 - Broad right-tail scouting universe,,,,,,,Extended candidate universe,Extended research universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
2022Q2,AXTI,<$100M,-1,2,2,0,0,3.0,1,good,0,2.0,0,25,0,25,0,1,0,1,25,25,25,25,Low priority unless theme override exists,25,25,Low priority unless theme override exists,0,25,25,Avoid / stale / low priority,active,,2022-04-29,6.3,-20.25,-13.8095,-16.6667,-7.1429,-6.1905,11.4286,,Tier 0 - Broad right-tail scouting universe,,,,,,,Extended candidate universe,Extended research universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
2022Q3,AXTI,<$100M,2,-1,-1,0,0,0.0,-3,mixed,0,3.0,0,29,0,29,0,4,0,1,32,32,32,32,Low priority unless theme override exists,32,32,Low priority unless theme override exists,0,32,32,D,active,,2022-07-07,5.95,-5.56,6.8908,17.4790,46.8908,34.4538,-10.2521,,Tier 0 - Broad right-tail scouting universe,,,,,,,Extended candidate universe,Extended research universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,Tier 3 - Revised dislocation feed,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
2022Q4,AXTI,<$100M,2,-1,-1,0,0,0.0,0,mixed,0,0.0,0,29,0,29,0,7,0,1,35,35,35,35,Low priority unless theme override exists,35,35,Low priority unless theme override exists,-15,20,20,Stop / review,kill_review,,2022-10-04,6.24,4.87,-31.0897,-31.0897,-24.6795,-16.9872,-29.9679,,Tier 0 - Broad right-tail scouting universe,,,,,,,Extended candidate universe,Extended research universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,Tier 3 - Revised dislocation feed,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
2023Q1,AXTI,<$100M,2,-1,-1,0,0,0.0,0,mixed,0,0.0,0,29,0,29,0,7,0,1,35,35,35,35,Low priority unless theme override exists,35,35,Low priority unless theme override exists,-15,20,20,Stop / review,kill_review,,2023-02-17,5.18,-16.99,-13.7066,-25.2896,-28.3784,-32.4324,-33.7838,,Tier 0 - Broad right-tail scouting universe,,,,,,,Extended candidate universe,Extended research universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,Tier 3 - Revised dislocation feed,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
2023Q2,AXTI,<$100M,1,1,-1,-1,0,0.0,0,mixed,0,0.0,0,30,0,30,0,6,0,6,30,30,30,30,Low priority unless theme override exists,30,30,Low priority unless theme override exists,0,30,30,D,active,,2023-04-28,3.0,-42.08,2.6667,14.3333,20.3333,15.3333,-2.6667,,Tier 0 - Broad right-tail scouting universe,,,,,,,Extended candidate universe,Extended research universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,Tier 3 - Revised dislocation feed,"Tier 4 - Ultra-distressed tag, not a production tier",,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
2023Q3,AXTI,<$100M,1,-1,-1,-1,0,-2.0,-2,weak,0,0.0,0,30,0,30,0,8,0,6,32,32,32,32,Low priority unless theme override exists,32,32,Low priority unless theme override exists,0,32,32,D,active,,2023-07-06,2.77,-7.67,6.1372,7.5812,-0.7220,-7.9422,-9.3863,,Tier 0 - Broad right-tail scouting universe,,,,,,,Extended candidate universe,Extended research universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,Tier 3 - Revised dislocation feed,"Tier 4 - Ultra-distressed tag, not a production tier",,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
2023Q4,AXTI,<$100M,2,1,-1,-1,0,1.0,3,mixed,0,-2.0,0,30,0,30,0,0,0,6,24,24,24,24,Low priority unless theme override exists,24,24,Low priority unless theme override exists,0,24,24,Avoid / stale / low priority,active,,2023-11-03,2.01,-27.44,0.0000,-0.9950,0.9950,22.8856,25.3731,,Tier 0 - Broad right-tail scouting universe,,,,,,,Extended candidate universe,Extended research universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,"Tier 4 - Ultra-distressed tag, not a production tier",,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
2024Q1,AXTI,$100M-$500M,2,-1,-1,-1,0,-1.0,-2,weak,0,1.0,0,30,0,30,0,3,0,6,27,27,27,27,Low priority unless theme override exists,27,27,Low priority unless theme override exists,0,27,27,Avoid / stale / low priority,active,,2024-02-23,3.16,57.21,34.8101,44.6203,48.7342,-7.5949,2.2152,,Tier 0 - Broad right-tail scouting universe,,,,,,,Extended candidate universe,Extended research universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,Tier 3 - Revised dislocation feed,"Tier 4 - Ultra-distressed tag, not a production tier",,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,RM1 - Low-price dislocation momentum,RM2 - Weak-bucket acceleration,,,Repricing momentum extension
